Date,Hour,t_index,Weather_Indicator
2023-05-02,9,213,0.0
2023-05-02,9,214,0.0
2023-05-02,9,215,0.0
2023-05-02,9,216,0.0
2023-05-02,9,217,0.0
2023-05-02,10,218,0.0
2023-05-02,10,219,0.0
2023-05-02,10,220,0.0
2023-05-02,10,221,0.0
2023-05-02,10,222,0.0
2023-05-02,10,223,0.0
2023-05-02,10,224,0.0
2023-05-02,10,225,0.0
2023-05-02,10,226,0.0
2023-05-02,10,227,0.0
2023-05-02,10,228,0.0
2023-05-02,10,229,0.0
2023-05-02,11,230,0.0
2023-05-02,11,231,0.0
2023-05-02,11,232,0.0
2023-05-02,11,233,0.0
2023-05-02,11,234,0.0
2023-05-02,11,235,0.0
2023-05-02,11,236,0.0
2023-05-02,11,237,0.0
2023-05-02,11,238,0.0
2023-05-02,11,239,0.0
2023-05-02,11,240,0.0
2023-05-02,11,241,0.0
2023-05-02,12,242,0.0
2023-05-02,12,243,0.0
2023-05-02,12,244,0.0
2023-05-02,12,245,0.0
2023-05-02,12,246,0.0
2023-05-02,12,247,0.0
2023-05-02,12,248,0.0
2023-05-02,12,249,0.0
2023-05-02,12,250,0.0
2023-05-02,12,251,0.0
2023-05-02,12,252,0.0
2023-05-02,12,253,0.0
2023-05-02,13,254,0.0
2023-05-02,13,255,0.0
2023-05-02,13,256,0.0
2023-05-02,13,257,0.0
2023-05-02,13,258,0.0
2023-05-02,13,259,0.0
2023-05-02,13,260,0.0
2023-05-02,13,261,0.0
2023-05-02,13,262,0.0
2023-05-02,13,263,0.0
2023-05-02,13,264,0.0
2023-05-02,13,265,0.0
2023-05-02,14,266,0.0
2023-05-02,14,267,0.0
2023-05-02,14,268,0.0
2023-05-02,14,269,0.0
2023-05-02,14,270,0.0
2023-05-02,14,271,0.0
2023-05-02,14,272,0.0
2023-05-02,14,273,0.0
2023-05-02,14,274,0.0
2023-05-02,14,275,0.0
2023-05-02,14,276,0.0
2023-05-02,14,277,0.0
2023-05-02,15,278,0.0
2023-05-02,15,279,0.0
2023-05-02,15,280,0.0
2023-05-02,15,281,0.0
2023-05-02,15,282,0.0
2023-05-02,15,283,0.0
2023-05-02,15,284,0.0
2023-05-02,15,285,0.0
2023-05-02,15,286,0.0
2023-05-02,15,287,0.0
2023-05-02,15,288,0.0
2023-05-02,15,289,0.0
2023-05-02,16,290,0.0
2023-05-02,16,291,0.0
2023-05-02,16,292,0.0
2023-05-02,16,293,0.0
2023-05-02,16,294,0.0
2023-05-02,16,295,0.0
2023-05-02,16,296,0.0
2023-05-02,16,297,0.0
2023-05-02,16,298,0.0
2023-05-02,16,299,0.0
2023-05-02,16,300,0.0
2023-05-02,16,301,0.0
2023-05-02,17,302,0.0
2023-05-02,17,303,0.0
2023-05-02,17,304,0.0
2023-05-02,17,305,0.0
2023-05-02,17,306,0.0
2023-05-02,17,307,0.0
2023-05-02,17,308,0.0
2023-05-02,17,309,0.0
2023-05-02,17,310,0.0
2023-05-02,17,311,0.0
2023-05-02,17,312,0.0
2023-05-02,17,313,0.0
2023-05-02,18,314,0.0
2023-05-02,18,315,0.0
2023-05-02,18,316,0.0
2023-05-02,18,317,0.0
2023-05-02,18,318,0.0
2023-05-02,18,319,0.0
2023-05-02,18,320,0.0
2023-05-02,18,321,0.0
2023-05-02,18,322,0.0
2023-05-02,18,323,0.0
2023-05-02,18,324,0.0
2023-05-02,18,325,0.0
2023-05-02,19,326,0.0
2023-05-02,19,327,0.0
2023-05-02,19,328,0.0
2023-05-02,19,329,0.0
2023-05-02,19,330,0.0
2023-05-02,19,331,0.0
2023-05-02,19,332,0.0
2023-05-02,19,333,0.0
2023-05-02,19,334,0.0
2023-05-02,19,335,0.0
2023-05-02,19,336,0.0
2023-05-02,19,337,0.0
2023-05-02,20,338,0.0
2023-05-02,20,339,0.0
2023-05-02,20,340,0.0
2023-05-02,20,341,0.0
2023-05-02,20,342,0.0
2023-05-02,20,343,0.0
2023-05-02,20,344,0.0
2023-05-02,20,345,0.0
2023-05-02,20,346,0.0
2023-05-02,20,347,0.0
2023-05-02,20,348,0.0
2023-05-02,20,349,0.0
